Date,EEM
2000-05-11,431.462
2000-05-12,431.914
2000-05-15,435.011
2000-05-16,442.238
2000-05-17,437.315
2000-05-18,432.062
2000-05-19,425.342
2000-05-22,413.817
2000-05-23,407.701
2000-05-24,407.839
2000-05-25,411.153
2000-05-26,410.212
2000-05-29,413.122
2000-05-30,424.953
2000-05-31,431.703
2000-06-01,435.541
2000-06-02,448.699
2000-06-05,452.121
2000-06-06,449.101
2000-06-07,449.345
2000-06-08,448.167
2000-06-09,453.116
2000-06-12,451.764
2000-06-13,448.590
2000-06-14,450.624
2000-06-15,445.276
2000-06-16,443.931
2000-06-19,443.585
2000-06-20,445.321
2000-06-21,445.524
2000-06-22,443.427
2000-06-23,439.087
2000-06-26,438.817
2000-06-27,441.956
2000-06-28,445.091
2000-06-29,441.532
2000-06-30,445.518
2000-07-03,449.762
2000-07-04,449.339
2000-07-05,452.704
2000-07-06,450.384
2000-07-07,451.701
2000-07-10,454.732
2000-07-11,450.323
2000-07-12,453.551
2000-07-13,453.220
2000-07-14,454.949
2000-07-17,455.923
2000-07-18,450.604
2000-07-19,444.212
2000-07-20,442.336
2000-07-21,442.434
2000-07-24,433.895
2000-07-25,432.351
2000-07-26,432.013
2000-07-27,428.652
2000-07-28,421.130
2000-07-31,422.082
2000-08-01,424.126
2000-08-02,424.446
2000-08-03,422.510
2000-08-04,423.503
2000-08-07,419.861
2000-08-08,419.546
2000-08-09,423.078
2000-08-10,425.415
2000-08-11,425.764
2000-08-14,428.141
2000-08-15,428.734
2000-08-16,432.701
2000-08-17,433.711
2000-08-18,429.852
2000-08-21,428.299
2000-08-22,429.812
2000-08-23,427.563
2000-08-24,426.978
2000-08-25,426.785
2000-08-28,425.298
2000-08-29,426.307
2000-08-30,423.657
2000-08-31,423.560
2000-09-01,423.721
2000-09-04,427.743
2000-09-05,426.933
2000-09-06,424.641
2000-09-07,420.766
2000-09-08,419.293
2000-09-11,414.468
2000-09-12,411.149
2000-09-13,411.807
2000-09-14,410.135
2000-09-15,405.853
