Date,EZA
2005-08-29,311.015
2005-08-30,307.587
2005-08-31,314.898
2005-09-1,327.215
2005-09-2,331.826
2005-09-5,329.445
2005-09-6,329.041
2005-09-7,330.879
2005-09-8,331.948
2005-09-9,333.114
2005-09-12,331.528
2005-09-13,330.534
2005-09-14,331.650
2005-09-15,331.494
2005-09-16,334.976
2005-09-19,335.344
2005-09-20,336.779
2005-09-21,337.818
2005-09-22,335.661
2005-09-23,331.690
2005-09-26,333.564
2005-09-27,335.118
2005-09-28,336.433
2005-09-29,342.374
2005-09-30,348.467
2005-10-3,341.496
2005-10-4,339.775
2005-10-5,333.715
2005-10-6,325.475
2005-10-7,321.302
2005-10-10,322.714
2005-10-11,325.960
2005-10-12,325.546
2005-10-13,313.585
2005-10-14,310.667
2005-10-17,320.613
2005-10-18,315.188
2005-10-19,308.232
2005-10-20,314.256
2005-10-21,307.612
2005-10-24,315.658
2005-10-25,316.266
2005-10-26,318.209
2005-10-27,312.734
2005-10-28,311.084
2005-10-31,314.557
2005-11-1,319.770
2005-11-2,323.547
2005-11-3,333.479
2005-11-4,328.038
2005-11-7,329.758
2005-11-8,323.879
2005-11-9,323.828
2005-11-10,326.367
2005-11-11,328.687
2005-11-14,334.183
2005-11-15,332.804
2005-11-16,332.846
2005-11-17,338.357
2005-11-18,342.192
2005-11-21,346.123
2005-11-22,344.143
2005-11-23,346.935
2005-11-24,350.269
2005-11-25,349.746
2005-11-28,347.470
2005-11-29,343.782
2005-11-30,340.389
2005-12-1,340.875
2005-12-2,349.034
2005-12-5,350.667
2005-12-6,356.357
2005-12-7,361.481
2005-12-8,359.695
2005-12-9,357.613
2005-12-12,363.991
2005-12-13,363.574
2005-12-14,363.682
2005-12-15,361.341
2005-12-16,362.144
2005-12-19,371.484
2005-12-20,369.720
2005-12-21,369.113
2005-12-22,374.928
2005-12-23,378.426
2005-12-26,378.426
2005-12-27,382.193
2005-12-28,376.322
2005-12-29,381.464
2005-12-30,377.916
2006-01-2,377.916
2006-01-3,390.360
2006-01-4,396.621
2006-01-5,392.099
2006-01-6,403.212
2006-01-9,406.993
2006-01-10,406.767
2006-01-11,411.704
2006-01-12,410.923
2006-01-13,417.257
2006-01-16,410.638
2006-01-17,403.982
2006-01-18,403.532
2006-01-19,421.393
2006-01-20,422.665
2006-01-23,422.342
2006-01-24,423.658
2006-01-25,427.351
2006-01-26,424.509
2006-01-27,429.285
2006-01-30,426.414
2006-01-31,437.808
2006-02-1,443.994
2006-02-2,447.920
2006-02-3,434.397
2006-02-6,439.998
2006-02-7,435.133
2006-02-8,421.088
2006-02-9,434.470
2006-02-10,434.705
2006-02-13,421.474
2006-02-14,411.900
2006-02-15,417.988
2006-02-16,416.785
2006-02-17,434.507
2006-02-20,435.525
2006-02-21,436.153
2006-02-22,434.675
2006-02-23,434.088
2006-02-24,428.239
2006-02-27,425.657
2006-02-28,413.153
2006-03-1,412.572
2006-03-2,421.457
2006-03-3,412.044
2006-03-6,410.204
2006-03-7,390.502
2006-03-8,390.577
2006-03-9,401.582
2006-03-10,399.044
2006-03-13,405.187
2006-03-14,416.497
2006-03-15,428.419
2006-03-16,427.442
2006-03-17,429.885
2006-03-20,430.605
2006-03-21,424.313
2006-03-22,424.687
2006-03-23,431.774
2006-03-24,435.392
2006-03-27,440.896
2006-03-28,432.748
2006-03-29,428.686
2006-03-30,447.101
2006-03-31,443.578
2006-04-3,454.396
2006-04-4,458.084
2006-04-5,456.670
2006-04-6,452.907
2006-04-7,445.033
2006-04-10,443.846
2006-04-11,448.815
2006-04-12,446.299
2006-04-13,444.620
2006-04-14,444.620
2006-04-17,450.623
2006-04-18,459.007
2006-04-19,461.726
2006-04-20,455.453
2006-04-21,456.467
2006-04-24,450.692
2006-04-25,452.042
2006-04-26,450.957
2006-04-27,452.296
2006-04-28,458.112
2006-05-1,462.581
2006-05-2,464.017
2006-05-3,461.908
2006-05-4,464.411
2006-05-5,469.994
2006-05-8,463.588
2006-05-9,471.237
2006-05-10,476.069
2006-05-11,473.824
2006-05-12,452.768
2006-05-15,415.940
2006-05-16,418.983
2006-05-17,418.185
2006-05-18,409.937
2006-05-19,396.787
2006-05-22,384.616
2006-05-23,404.071
2006-05-24,386.093
2006-05-25,391.616
2006-05-26,402.160
2006-05-29,412.491
2006-05-30,401.027
2006-05-31,388.285
2006-06-1,389.889
2006-06-2,397.029
2006-06-5,401.577
2006-06-6,375.564
2006-06-7,369.114
2006-06-8,342.312
2006-06-9,368.254
2006-06-12,363.103
2006-06-13,340.235
2006-06-14,347.247
2006-06-15,362.415
2006-06-16,363.405
2006-06-19,361.258
2006-06-20,358.762
2006-06-21,361.437
2006-06-22,353.849
2006-06-23,345.823
2006-06-26,338.739
2006-06-27,347.978
2006-06-28,353.331
2006-06-29,359.463
2006-06-30,374.544
2006-07-3,386.982
2006-07-4,386.973
2006-07-5,367.146
2006-07-6,372.786
2006-07-7,377.298
2006-07-10,378.397
2006-07-11,375.344
2006-07-12,382.012
2006-07-13,364.423
2006-07-14,360.974
2006-07-17,350.421
2006-07-18,354.817
2006-07-19,366.157
2006-07-20,370.235
2006-07-21,359.585
2006-07-24,360.529
2006-07-25,363.569
2006-07-26,367.441
2006-07-27,380.099
2006-07-28,373.852
2006-07-31,373.678
2006-08-1,367.513
2006-08-2,376.297
2006-08-3,374.880
2006-08-4,381.560
2006-08-7,377.547
2006-08-8,378.401
2006-08-9,384.062
2006-08-10,378.215
2006-08-11,383.654
2006-08-14,376.295
2006-08-15,377.610
2006-08-16,384.929
2006-08-17,390.570
2006-08-18,375.106
2006-08-21,376.092
2006-08-22,376.053
2006-08-23,372.480
2006-08-24,371.257
2006-08-25,372.328
2006-08-28,374.080
2006-08-29,373.590
2006-08-30,384.129
2006-08-31,372.202
2006-09-1,374.095
2006-09-4,381.667
2006-09-5,380.019
2006-09-6,376.873
2006-09-7,360.414
2006-09-8,358.505
2006-09-11,343.191
2006-09-12,353.001
2006-09-13,352.440
2006-09-14,349.109
2006-09-15,351.311
2006-09-18,356.754
2006-09-19,358.292
