Date,EWT
2004-03-3,254.858
2004-03-4,257.833
2004-03-5,254.814
2004-03-8,252.082
2004-03-9,254.711
2004-03-10,248.989
2004-03-11,250.002
2004-03-12,244.813
2004-03-15,239.165
2004-03-16,238.533
2004-03-17,239.179
2004-03-18,247.704
2004-03-19,248.446
2004-03-22,232.008
2004-03-23,224.542
2004-03-24,228.750
2004-03-25,226.377
2004-03-26,225.862
2004-03-29,239.580
2004-03-30,238.526
2004-03-31,240.024
2004-04-1,240.672
2004-04-2,240.456
2004-04-5,246.459
2004-04-6,244.949
2004-04-7,245.400
2004-04-8,246.251
2004-04-9,243.835
2004-04-12,249.734
2004-04-13,251.307
2004-04-14,254.423
2004-04-15,247.824
2004-04-16,249.706
2004-04-19,250.062
2004-04-20,250.671
2004-04-21,250.216
2004-04-22,247.826
2004-04-23,249.114
2004-04-26,248.428
2004-04-27,246.445
2004-04-28,243.174
2004-04-29,234.953
2004-04-30,223.910
2004-05-3,221.604
2004-05-4,227.669
2004-05-5,215.710
2004-05-6,217.902
2004-05-7,221.816
2004-05-10,210.761
2004-05-11,214.174
2004-05-12,217.405
2004-05-13,215.649
2004-05-14,209.817
2004-05-17,198.233
2004-05-18,201.327
2004-05-19,214.461
2004-05-20,211.722
2004-05-21,217.239
2004-05-24,216.230
2004-05-25,216.878
2004-05-26,219.676
2004-05-27,220.064
2004-05-28,224.911
2004-05-31,217.768
2004-06-1,217.389
2004-06-2,213.297
2004-06-3,205.443
2004-06-4,207.412
2004-06-7,216.639
2004-06-8,218.509
2004-06-9,217.826
2004-06-10,212.915
2004-06-11,206.341
2004-06-14,200.090
2004-06-15,202.319
2004-06-16,200.294
2004-06-17,204.586
2004-06-18,200.893
2004-06-21,200.423
2004-06-22,200.394
2004-06-23,206.366
2004-06-24,208.985
2004-06-25,210.042
2004-06-28,205.802
2004-06-29,206.927
2004-06-30,210.690
2004-07-1,211.210
2004-07-2,206.828
2004-07-5,202.511
2004-07-6,206.342
2004-07-7,205.678
2004-07-8,205.378
2004-07-9,207.842
2004-07-12,206.236
2004-07-13,204.160
2004-07-14,201.451
2004-07-15,197.232
2004-07-16,195.750
2004-07-19,195.223
2004-07-20,189.872
2004-07-21,193.281
2004-07-22,192.390
2004-07-23,190.774
2004-07-26,188.611
2004-07-27,191.146
2004-07-28,190.433
2004-07-29,188.800
2004-07-30,192.116
2004-08-2,189.871
2004-08-3,190.186
2004-08-4,188.705
2004-08-5,193.169
2004-08-6,191.253
2004-08-9,191.481
2004-08-10,191.438
2004-08-11,190.438
2004-08-12,189.685
2004-08-13,190.616
2004-08-16,189.032
2004-08-17,188.917
2004-08-18,193.124
2004-08-19,200.601
2004-08-20,200.894
2004-08-23,201.972
2004-08-24,201.201
2004-08-25,201.153
2004-08-26,207.987
2004-08-27,207.247
2004-08-30,206.810
2004-08-31,204.713
2004-09-1,209.095
2004-09-2,208.369
2004-09-3,204.584
2004-09-6,204.004
2004-09-7,206.717
2004-09-8,206.555
2004-09-9,206.980
2004-09-10,207.272
2004-09-13,209.850
2004-09-14,209.662
2004-09-15,208.354
2004-09-16,209.597
2004-09-17,205.528
2004-09-20,206.881
2004-09-21,210.043
2004-09-22,211.318
2004-09-23,209.624
2004-09-24,207.403
2004-09-27,205.304
2004-09-28,204.099
2004-09-29,203.848
2004-09-30,204.888
